,utc,star,azimuth,elevation,tel_1,tel_2,pop_1,pop_2,cart_1,cart_2
0,2019-11-06T03:14:02.000,#320010,0.5299791466327226,1.0923688798353686,E1,W2,P5B1,P5B2,2.733653795,88.0
1,2019-11-06T03:14:02.000,#320010,0.5299791466327226,1.0923688798353686,E1,W1,P5B1,P3B3,2.733653795,22.684628728
2,2019-11-06T03:14:02.000,#320010,0.5299791466327226,1.0923688798353686,S2,E1,P2B4,P5B1,24.343538167,2.733653795
3,2019-11-06T03:14:03.000,#320010,0.5299198465406586,1.0923993572983657,S1,E1,P1B5,P5B1,16.647385167,2.725308065
4,2019-11-06T03:14:03.000,#320010,0.5299198465406586,1.0923993572983657,W1,W2,P3B3,P5B2,22.688254544,88.0
5,2019-11-06T03:14:03.000,#320010,0.5299198465406586,1.0923993572983657,S2,W2,P2B4,P5B2,24.34276431,88.0
6,2019-11-06T03:14:03.000,#320010,0.5299198465406586,1.0923993572983657,S1,W2,P1B5,P5B2,16.647385167,88.0
7,2019-11-06T03:14:03.000,#320010,0.5299198465406586,1.0923993572983657,S2,W1,P2B4,P3B3,24.34276431,22.688254544
8,2019-11-06T03:14:03.000,#320010,0.5299198465406586,1.0923993572983657,S1,W1,P1B5,P3B3,16.647385167,22.688254544
9,2019-11-06T03:14:03.000,#320010,0.5299198465406586,1.0923993572983657,S1,S2,P1B5,P2B4,16.647385167,24.34276431
10,2019-11-06T03:14:04.000,#320010,0.5298605355053804,1.0924298316721301,E1,W2,P5B1,P5B2,2.716964663,88.0
11,2019-11-06T03:14:04.000,#320010,0.5298605355053804,1.0924298316721301,E1,W1,P5B1,P3B3,2.716964663,22.691878238
12,2019-11-06T03:14:04.000,#320010,0.5298605355053804,1.0924298316721301,S2,E1,P2B4,P5B1,24.341993292,2.716964663
13,2019-11-06T03:14:04.000,#320010,0.5298605355053804,1.0924298316721301,S1,E1,P1B5,P5B1,16.646712176,2.716964663
14,2019-11-06T03:14:04.000,#320010,0.5298605355053804,1.0924298316721301,W1,W2,P3B3,P5B2,22.691878238,88.0
15,2019-11-06T03:14:04.000,#320010,0.5298605355053804,1.0924298316721301,S2,W2,P2B4,P5B2,24.341993292,88.0
16,2019-11-06T03:14:05.000,#320010,0.5298012134745277,1.0924603029741147,S1,W2,P1B5,P5B2,16.646035104,88.0
17,2019-11-06T03:14:05.000,#320010,0.5298012134745277,1.0924603029741147,S2,W1,P2B4,P3B3,24.341218771,22.695504418
18,2019-11-06T03:14:05.000,#320010,0.5298012134745277,1.0924603029741147,S1,W1,P1B5,P3B3,16.646035104,22.695504418
19,2019-11-06T03:14:05.000,#320010,0.5298012134745277,1.0924603029741147,S1,S2,P1B5,P2B4,16.646035104,24.341218771
20,2019-11-06T03:14:05.000,#320010,0.5298012134745277,1.0924603029741147,E1,W2,P5B1,P5B2,2.708618805,88.0
21,2019-11-06T03:14:05.000,#320010,0.5298012134745277,1.0924603029741147,E1,W1,P5B1,P3B3,2.708618805,22.695501683
22,2019-11-06T03:14:06.000,#320010,0.529741880517914,1.0924907711694136,S2,E1,P2B4,P5B1,24.340443919,2.70027289
23,2019-11-06T03:14:06.000,#320010,0.529741880517914,1.0924907711694136,S1,E1,P1B5,P5B1,16.645357955,2.70027289
24,2019-11-06T03:14:06.000,#320010,0.529741880517914,1.0924907711694136,W1,W2,P3B3,P5B2,22.699128044,88.0
25,2019-11-06T03:14:06.000,#320010,0.529741880517914,1.0924907711694136,S2,W2,P2B4,P5B2,24.340443919,88.0
26,2019-11-06T03:14:06.000,#320010,0.529741880517914,1.0924907711694136,S1,W2,P1B5,P5B2,16.645357955,88.0
27,2019-11-06T03:14:06.000,#320010,0.529741880517914,1.0924907711694136,S2,W1,P2B4,P3B3,24.340443919,22.699128044
28,2019-11-06T03:14:06.000,#320010,0.529741880517914,1.0924907711694136,S1,W1,P1B5,P3B3,16.645357955,22.699128044
29,2019-11-06T03:14:07.000,#320010,0.5296825365482727,1.0925212362929329,S1,S2,P1B5,P2B4,16.644680105,24.339668734
30,2019-11-06T03:14:07.000,#320010,0.5296825365482727,1.0925212362929329,E1,W2,P5B1,P5B2,2.691928362,88.0
31,2019-11-06T03:14:07.000,#320010,0.5296825365482727,1.0925212362929329,E1,W1,P5B1,P3B3,2.691928362,22.702751341
32,2019-11-06T03:14:07.000,#320010,0.5296825365482727,1.0925212362929329,S2,E1,P2B4,P5B1,24.339668363,2.691928362
33,2019-11-06T03:14:07.000,#320010,0.5296825365482727,1.0925212362929329,S1,E1,P1B5,P5B1,16.644680105,2.691928362
34,2019-11-06T03:14:07.000,#320010,0.5296825365482727,1.0925212362929329,W1,W2,P3B3,P5B2,22.702751341,88.0
35,2019-11-06T03:14:08.000,#320010,0.5296231816005104,1.0925516983272194,S2,W2,P2B4,P5B2,24.338892847,88.0
36,2019-11-06T03:14:08.000,#320010,0.5296231816005104,1.0925516983272194,S1,W2,P1B5,P5B2,16.644001867,88.0
37,2019-11-06T03:14:08.000,#320010,0.5296231816005104,1.0925516983272194,S2,W1,P2B4,P3B3,24.338892847,22.706378069
38,2019-11-06T03:14:08.000,#320010,0.5296231816005104,1.0925516983272194,S1,W1,P1B5,P3B3,16.644001867,22.706378069
39,2019-11-06T03:14:08.000,#320010,0.5296231816005104,1.0925516983272194,S1,S2,P1B5,P2B4,16.644001867,24.338892847
40,2019-11-06T03:14:08.000,#320010,0.5296231816005104,1.0925516983272194,E1,W2,P5B1,P5B2,2.683582532,88.0
41,2019-11-06T03:14:09.000,#320010,0.529563815726987,1.0925821572548198,E1,W1,P5B1,P3B3,2.675236427,22.710001903
42,2019-11-06T03:14:09.000,#320010,0.529563815726987,1.0925821572548198,S2,E1,P2B4,P5B1,24.338115308,2.675236427
43,2019-11-06T03:14:09.000,#320010,0.529563815726987,1.0925821572548198,S1,E1,P1B5,P5B1,16.643323688,2.675236427
44,2019-11-06T03:14:09.000,#320010,0.529563815726987,1.0925821572548198,W1,W2,P3B3,P5B2,22.710001903,88.0
45,2019-11-06T03:14:09.000,#320010,0.529563815726987,1.0925821572548198,S2,W2,P2B4,P5B2,24.338115308,88.0
46,2019-11-06T03:14:10.000,#320010,0.5295044388404359,1.0926126131280942,S1,W2,P1B5,P5B2,16.642644672,88.0
47,2019-11-06T03:14:10.000,#320010,0.5295044388404359,1.0926126131280942,S2,W1,P2B4,P3B3,24.337339128,22.713628996
48,2019-11-06T03:14:10.000,#320010,0.5295044388404359,1.0926126131280942,S1,W1,P1B5,P3B3,16.642644672,22.713628996
49,2019-11-06T03:14:10.000,#320010,0.5295044388404359,1.0926126131280942,S1,S2,P1B5,P2B4,16.642644672,24.337339128
50,2019-11-06T03:14:10.000,#320010,0.5295044388404359,1.0926126131280942,E1,W2,P5B1,P5B2,2.666890014,88.0
51,2019-11-06T03:14:10.000,#320010,0.5295044388404359,1.0926126131280942,E1,W1,P5B1,P3B3,2.666890014,22.713627335
52,2019-11-06T03:14:11.000,#320010,0.529445050975764,1.0926430658946824,S2,E1,P2B4,P5B1,24.336561712,2.658543777
53,2019-11-06T03:14:11.000,#320010,0.529445050975764,1.0926430658946824,S1,E1,P1B5,P5B1,16.641968226,2.658543777
54,2019-11-06T03:14:11.000,#320010,0.529445050975764,1.0926430658946824,W1,W2,P3B3,P5B2,22.717254609,88.0
55,2019-11-06T03:14:11.000,#320010,0.529445050975764,1.0926430658946824,S2,W2,P2B4,P5B2,24.336561712,88.0
56,2019-11-06T03:14:11.000,#320010,0.529445050975764,1.0926430658946824,S1,W2,P1B5,P5B2,16.641968226,88.0
57,2019-11-06T03:14:11.000,#320010,0.529445050975764,1.0926430658946824,S2,W1,P2B4,P3B3,24.336561712,22.717254609
