,utc,star,azimuth,elevation,tel_1,tel_2,pop_1,pop_2,cart_1,cart_2
0,2019-11-05T02:33:25.000,#320010,0.6527059457400538,1.0018275430722392,W1,W2,P3B3,P5B2,13.703915922,88.0
1,2019-11-05T02:33:25.000,#320010,0.6527059457400538,1.0018275430722392,S2,W2,P2B4,P5B2,25.216782363,88.0
2,2019-11-05T02:33:26.000,#320010,0.6526720570659403,1.001864160498825,S2,W1,P2B4,P3B3,25.216904492,13.706988544
3,2019-11-05T02:33:26.000,#320010,0.6526720570659403,1.001864160498825,S1,W1,P1B5,P3B3,17.059593652,13.706988544
4,2019-11-05T02:33:26.000,#320010,0.6526720570659403,1.001864160498825,S1,S2,P1B5,P2B4,17.059593652,25.216904492
5,2019-11-05T02:33:26.000,#320010,0.6526720570659403,1.001864160498825,W1,W2,P3B3,P5B2,13.707007799,88.0
6,2019-11-05T02:33:26.000,#320010,0.6526720570659403,1.001864160498825,S2,W2,P2B4,P5B2,25.216919,88.0
7,2019-11-05T02:33:27.000,#320010,0.6526381604505787,1.0019007762848016,S1,W2,P1B5,P5B2,17.059989227,88.0
8,2019-11-05T02:33:27.000,#320010,0.6526381604505787,1.0019007762848016,S2,W1,P2B4,P3B3,25.217040793,13.710080649
9,2019-11-05T02:33:27.000,#320010,0.6526381604505787,1.0019007762848016,S1,W1,P1B5,P3B3,17.059989227,13.710080649
10,2019-11-05T02:33:28.000,#320010,0.6526042558067024,1.0019373904650748,S1,S2,P1B5,P2B4,17.060357591,25.217162249
11,2019-11-05T02:33:28.000,#320010,0.6526042558067024,1.0019373904650748,W1,W2,P3B3,P5B2,13.713160242,88.0
12,2019-11-05T02:33:28.000,#320010,0.6526042558067024,1.0019373904650748,S2,W2,P2B4,P5B2,25.217171295,88.0
13,2019-11-05T02:33:29.000,#320010,0.6525703431866716,1.0019740030221922,S1,W2,P1B5,P5B2,17.060732114,88.0
14,2019-11-05T02:33:29.000,#320010,0.6525703431866716,1.0019740030221922,S2,W1,P2B4,P3B3,25.217292414,13.716233554
15,2019-11-05T02:33:29.000,#320010,0.6525703431866716,1.0019740030221922,S1,W1,P1B5,P3B3,17.060732114,13.716233554
16,2019-11-05T02:33:29.000,#320010,0.6525703431866716,1.0019740030221922,S1,S2,P1B5,P2B4,17.060732114,25.217292414
17,2019-11-05T02:34:03.000,#320010,0.651412554610205,1.0032178601719797,E1,W2,P5B1,P5B2,24.368843552,88.0
18,2019-11-05T02:34:03.000,#320010,0.651412554610205,1.0032178601719797,E1,W1,P5B1,P3B3,24.368843552,13.820861694
19,2019-11-05T02:34:04.000,#320010,0.6513783617775626,1.0032544156044705,S2,E1,P2B4,P5B1,25.221267968,24.360817562
20,2019-11-05T02:34:04.000,#320010,0.6513783617775626,1.0032544156044705,S1,E1,P1B5,P5B1,17.073297426,24.360817562
21,2019-11-05T02:34:05.000,#320010,0.6513441609338592,1.0032909693963519,W1,W2,P3B3,P5B2,13.827024631,88.0
22,2019-11-05T02:34:05.000,#320010,0.6513441609338592,1.0032909693963519,S2,W2,P2B4,P5B2,25.221376971,88.0
23,2019-11-05T02:34:05.000,#320010,0.6513441609338592,1.0032909693963519,S1,W2,P1B5,P5B2,17.07365132,88.0
24,2019-11-05T02:34:05.000,#320010,0.6513441609338592,1.0032909693963519,S2,W1,P2B4,P3B3,25.221376971,13.827024631
